Landing Airport Code,Landing Airport FDW ID Number,Landing Airport Name,Landing Airport Type,Landing Airport City,Landing Airport State,Landing Airport Country,Landing Airport Latitude,Landing Airport Longitude,Landing Airport Elevation (ft)
ADJ,3556,Marka Intl,Civil,AMMAN,,Jordan,31.97270278,35.99157222,2556
AKL,4264,Auckland Intl,Civil,AUCKLAND,,New Zealand,-37.00805556,174.7916667,23
ALA,3697,Almaty,Civil,ALMATY,,Kazakhstan,43.35555556,77.04388889,2238
AMS,4157,Schiphol,Civil,AMSTERDAM,,Netherlands,52.30805556,4.764166667,-11
ANC,8840,Stevens Anchorage Intl,Civil,ANCHORAGE,,United States,61.17415556,-149.9981889,151
ANX,4197,Andoya,Civil,ANDENES,,Norway,69.2925,16.14416667,46
ATL,8068,Hartsfield - Jackson Atlanta I,Civil,ATLANTA,,United States,33.6367,-84.42786389,1026
BAH,552,Bahrain Intl,Civil,BAHRAIN,,Bahrain,26.27083333,50.63361111,8
BCN,4916,Josep Tarradellas/El Prat,Civil,BARCELONA,,Spain,41.29694444,2.078333333,14
BDL,9247,Bradley Intl,Civil,WINDSOR LOCKS,,United States,41.93913889,-72.68336111,173
BHM,9117,Birmingham-Shuttlesworth Intl,Civil,BIRMINGHAM,,United States,33.56388889,-86.75230556,650
BIF,7296,Biggs Aaf,Military,FT BLISS,,United States,31.8495,-106.38,3948
BKK,10882,Suvarnabhumi Intl,Civil,BANGKOK,,Thailand,13.68583333,100.7488889,5
BNA,8113,Nashville Intl,Civil,NASHVILLE,,United States,36.12447222,-86.67816667,599
BOG,1964,El Dorado Intl,Civil,BOGOTA,,Colombia,4.7016,-74.14694444,8360
BOS,5886,Logan Intl,Civil,BOSTON,,United States,42.36294444,-71.00638889,19
BWI,9467,#NAME?,Civil,BALTIMORE,,United States,39.17572778,-76.66899167,143
CGO,1818,Xinzheng,Civil,ZHENGZHOU,,China,34.51833333,113.84,495
CHQ,2799,Ioannis Daskalogiannis,Civil,CHANIA,,Greece,35.53138889,24.15111111,490
CHS,9073,Charleston Afb/Intl,Civil,CHARLESTON,,United States,32.89864722,-80.04052778,46
CKG,1802,Jiangbei,Civil,CHONGQING,,China,29.72,106.64,1364
CLT,9651,Charlotte/Douglas Intl,Civil,CHARLOTTE,,United States,35.21375,-80.94905556,748
CVG,6371,Cincinnati/Northern Ky Intl,Civil,CINCINNATI,,United States,39.04883611,-84.66782222,896
